SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
COUNTRY,THA,Male,2011,72.50169638
COUNTRY,SRB,Male,2004,69.93824872
COUNTRY,LKA,Female,2005,77.77751081
COUNTRY,SLB,Both,2003,63.54307905
COUNTRY,BGR,Female,2004,76.0946086
COUNTRY,VNM,Male,2019,69.5096504
COUNTRY,NOR,Male,2021,81.50302217
COUNTRY,NAM,Both,2018,62.82854728
COUNTRY,LBR,Male,2014,58.02219712
COUNTRY,CRI,Male,2018,77.67558091
COUNTRY,CYP,Male,2005,77.35813253
COUNTRY,MNE,Male,2006,71.82007084
COUNTRY,SWZ,Male,2003,41.40134318
COUNTRY,PER,Female,2003,77.68527692
COUNTRY,TKM,Both,2015,68.83222809
COUNTRY,PNG,Both,2014,65.75249158
COUNTRY,DOM,Male,2010,71.2101998
COUNTRY,NOR,Male,2017,80.77622349
COUNTRY,GAB,Both,2012,62.66758728
COUNTRY,PHL,Female,2012,73.79040061
COUNTRY,IDN,Female,2001,68.65561428
COUNTRY,MRT,Female,2014,69.27692167
COUNTRY,DNK,Female,2005,80.24266452
COUNTRY,BRN,Female,2001,77.15996367
GLOBAL,GLOBAL,Male,2015,69.62753756
COUNTRY,BGR,Male,2002,68.80044549
WORLDBANKINCOMEGROUP,WB_LI,Both,2004,56.58061879
REGION,EUR,Female,2000,76.55264765
COUNTRY,CYP,Both,2013,81.84969587
COUNTRY,ARG,Female,2016,79.18744687
COUNTRY,ATG,Both,2015,75.61540401
COUNTRY,KIR,Female,2010,64.67018916
COUNTRY,NPL,Male,2011,67.93227148
COUNTRY,NER,Male,2020,59.23802406
COUNTRY,THA,Male,2021,71.76037025
COUNTRY,EGY,Male,2015,67.50023556
COUNTRY,CMR,Both,2001,52.89875064
COUNTRY,SVN,Both,2005,77.44125575
COUNTRY,MEX,Female,2019,78.89055151
COUNTRY,BGD,Both,2011,71.08337441
COUNTRY,DNK,Both,2001,77.04219494
GLOBAL,GLOBAL,Male,2021,68.89192705
COUNTRY,NPL,Female,2000,66.51369878
COUNTRY,ETH,Both,2001,52.82154779
COUNTRY,MRT,Male,2017,69.73990751
COUNTRY,FJI,Both,2014,67.72103011
COUNTRY,USA,Male,2003,74.57231872
COUNTRY,CHL,Male,2012,77.09225268
COUNTRY,ESP,Male,2008,77.9782403
COUNTRY,LBN,Female,2003,78.03678202
REGION,WPR,Both,2009,75.02841936
COUNTRY,GNQ,Both,2010,60.00998447
COUNTRY,SAU,Male,2002,70.0579779
COUNTRY,ALB,Male,2003,72.36147281
COUNTRY,MNE,Male,2016,74.20702713
COUNTRY,GIN,Female,2019,62.35581084
COUNTRY,VUT,Both,2006,65.37131308
COUNTRY,LKA,Male,2019,74.31605462
COUNTRY,BWA,Female,2015,63.90389304
COUNTRY,BLZ,Female,2004,74.88312972
COUNTRY,PRT,Male,2013,77.36595799
COUNTRY,ETH,Both,2003,54.78484585
COUNTRY,ALB,Female,2010,78.34098043
COUNTRY,BTN,Both,2016,73.28424565
COUNTRY,TKM,Male,2013,65.53547353
COUNTRY,MDV,Female,2004,72.64243386
COUNTRY,MEX,Male,2015,73.32496192
COUNTRY,MWI,Female,2004,48.73794273
COUNTRY,MYS,Female,2014,76.71751251
COUNTRY,MWI,Female,2009,57.85896422
COUNTRY,SYR,Male,2019,65.37072192
COUNTRY,NLD,Male,2013,79.36984845
COUNTRY,GEO,Female,2006,76.51320244
COUNTRY,GEO,Female,2016,77.22910417
COUNTRY,BOL,Female,2006,70.1293006
COUNTRY,SDN,Both,2019,69.46506253
COUNTRY,BRA,Male,2018,71.93983685
COUNTRY,MYS,Female,2008,76.47381281
COUNTRY,PRK,Both,2017,71.92237066
COUNTRY,NIC,Both,2003,75.81400954
COUNTRY,ARE,Female,2013,81.25425457
COUNTRY,NER,Male,2012,58.03822441
COUNTRY,COD,Female,2006,56.95398906
COUNTRY,TUN,Male,2020,74.70563933
COUNTRY,ERI,Male,2002,53.56203867
COUNTRY,GUY,Both,2014,66.55197342
COUNTRY,MWI,Both,2007,52.54577058
COUNTRY,KGZ,Male,2000,62.5171133
COUNTRY,FIN,Both,2006,79.23326293
COUNTRY,SAU,Male,2017,76.43989666
COUNTRY,BRN,Both,2016,76.41822612
COUNTRY,AGO,Female,2007,57.42138624
COUNTRY,HTI,Both,2002,57.58049169
COUNTRY,GEO,Male,2003,67.14013397
COUNTRY,PSE,Male,2010,70.5648444
COUNTRY,BRB,Female,2006,77.01351091
COUNTRY,SSD,Female,2016,61.27711035
COUNTRY,BRA,Male,2020,70.67156046
COUNTRY,SVN,Female,2002,80.23994364
COUNTRY,BRA,Female,2005,76.62117034
COUNTRY,BRN,Female,2020,78.29446762
COUNTRY,NIC,Both,2016,77.92580193
COUNTRY,VCT,Male,2015,70.60001746
COUNTRY,PAN,Male,2009,73.99702243
COUNTRY,MWI,Male,2005,48.46561369
COUNTRY,BIH,Male,2004,73.76239802
COUNTRY,YEM,Male,2018,63.16208768
COUNTRY,IRN,Male,2007,73.5827342
COUNTRY,SDN,Female,2012,68.7066228
COUNTRY,SWZ,Male,2001,43.21939728
COUNTRY,NOR,Both,2013,81.43412297
COUNTRY,BDI,Male,2010,58.25101309
COUNTRY,HTI,Both,2007,59.85463205
COUNTRY,MKD,Both,2014,75.25754035
COUNTRY,SRB,Female,2000,74.3345586
COUNTRY,DZA,Female,2013,76.34258701
COUNTRY,CAF,Male,2021,49.57149039
COUNTRY,BDI,Both,2009,58.71584557
COUNTRY,AZE,Female,2018,77.52008302
COUNTRY,FRA,Female,2021,84.6861417
COUNTRY,JOR,Male,2019,79.72852788
COUNTRY,BLR,Both,2013,72.59208184
COUNTRY,SLE,Female,2005,53.13930781
COUNTRY,LSO,Female,2015,51.69732437
COUNTRY,ISR,Both,2010,81.53399975
COUNTRY,BGR,Both,2007,72.92323217
COUNTRY,TLS,Male,2015,66.42465529
COUNTRY,KOR,Female,2006,82.11918241
COUNTRY,TLS,Both,2006,65.99128891
COUNTRY,ERI,Male,2008,56.49770292
COUNTRY,TKM,Male,2000,61.71126596
