Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1698526,WHOSIS_000001,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2011,,,,,,,72.5 [72.0-73.0],72.50169638,72.02904675,72.96745196,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1699840,WHOSIS_000001,COUNTRY,SRB,YEAR,EUR,Europe,SEX,SEX_MLE,2004,,,,,,,69.9 [69.8-70.1],69.93824872,69.81707563,70.09060243,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1700010,WHOSIS_000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2005,,,,,,,77.8 [77.5-78.2],77.77751081,77.48423059,78.16301624,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1702249,WHOSIS_000001,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2003,,,,,,,63.5 [62.8-64.5],63.54307905,62.75063004,64.51174383,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1704020,WHOSIS_000001,COUNTRY,BGR,YEAR,EUR,Europe,SEX,SEX_FMLE,2004,,,,,,,76.1 [76.0-76.3],76.0946086,75.98828326,76.26150017,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1704207,WHOSIS_000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2019,,,,,,,69.5 [68.9-70.2],69.5096504,68.93623966,70.20699106,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1704253,WHOSIS_000001,COUNTRY,NOR,YEAR,EUR,Europe,SEX,SEX_MLE,2021,,,,,,,81.5 [81.5-81.6],81.50302217,81.48182885,81.59845151,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1704382,WHOSIS_000001,COUNTRY,NAM,YEAR,AFR,Africa,SEX,SEX_BTSX,2018,,,,,,,62.8 [61.7-64.0],62.82854728,61.67008913,63.98710731,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1705028,WHOSIS_000001,COUNTRY,LBR,YEAR,AFR,Africa,SEX,SEX_MLE,2014,,,,,,,58.0 [57.0-58.9],58.02219712,57.04450046,58.87864516,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1705366,WHOSIS_000001,COUNTRY,CRI,YEAR,AMR,Americas,SEX,SEX_MLE,2018,,,,,,,77.7 [77.6-77.8],77.67558091,77.57143466,77.80361028,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1706652,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_MLE,2005,,,,,,,77.4 [77.2-77.7],77.35813253,77.15098012,77.659997,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1708190,WHOSIS_000001,COUNTRY,MNE,YEAR,EUR,Europe,SEX,SEX_MLE,2006,,,,,,,71.8 [71.7-72.0],71.82007084,71.65799629,72.0465732,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1708215,WHOSIS_000001,COUNTRY,SWZ,YEAR,AFR,Africa,SEX,SEX_MLE,2003,,,,,,,41.4 [40.3-42.8],41.40134318,40.31014855,42.78035906,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1708371,WHOSIS_000001,COUNTRY,PER,YEAR,AMR,Americas,SEX,SEX_FMLE,2003,,,,,,,77.7 [77.3-78.1],77.68527692,77.28501072,78.11713721,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1708671,WHOSIS_000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,68.8 [68.4-69.3],68.83222809,68.37034007,69.26102648,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1711013,WHOSIS_000001,COUNTRY,PNG,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2014,,,,,,,65.8 [65.0-66.4],65.75249158,65.02490184,66.43300366,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1711167,WHOSIS_000001,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_MLE,2010,,,,,,,71.2 [70.5-72.0],71.2101998,70.53409897,72.04539309,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1712161,WHOSIS_000001,COUNTRY,NOR,YEAR,EUR,Europe,SEX,SEX_MLE,2017,,,,,,,80.8 [80.8-80.9],80.77622349,80.75538818,80.86513287,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
